"Freq [GHz]","dB20(Zt(Signal1_3_T2,Signal1_3_T1)) []"
6.01760176017602,36.0501618430384
6.01770177017702,36.0500609893882
6.01780178017802,36.0499601392866
6.01790179017902,36.0498592927337
6.01800180018002,36.0497584497294
6.01810181018102,36.0496576102736
6.01820182018202,36.0495567743662
6.01830183018302,36.0494559420073
6.01840184018402,36.0493551131967
6.01850185018502,36.0492542879344
6.01860186018602,36.0491534662204
6.01870187018702,36.0490526480545
6.01880188018802,36.0489518334367
6.01890189018902,36.048851022367
6.01900190019002,36.0487502148453
6.01910191019102,36.0486494108715
6.01920192019202,36.0485486104456
6.01930193019302,36.0484478135676
6.01940194019402,36.0483470202373
6.01950195019502,36.0482462304547
6.01960196019602,36.0481454442198
6.01970197019702,36.0480446615324
6.01980198019802,36.0479438823926
6.01990199019902,36.0478431068002
6.02000200020002,36.0477423347553
6.02010201020102,36.0476415662577
