"Freq [GHz]","dB(St(Signal1_3_T2,Signal1_3_T1)) []"
6.00640064006401,-0.0304683857589993
6.00650065006501,-0.0304699653258743
6.00660066006601,-0.0304715450004018
6.00670067006701,-0.0304731247826021
6.00680068006801,-0.0304747046724812
6.00690069006901,-0.0304762846700487
6.00700070007001,-0.0304778647753232
6.00710071007101,-0.0304794449883104
6.00720072007201,-0.030481025309025
6.00730073007301,-0.0304826057374718
6.00740074007401,-0.0304841862736703
6.00750075007501,-0.0304857669176321
6.00760076007601,-0.0304873476693545
6.00770077007701,-0.0304889285288683
6.00780078007801,-0.0304905094961727
6.00790079007901,-0.0304920905712843
6.00800080008001,-0.0304936717542117
6.00810081008101,-0.0304952530449657
6.00820082008201,-0.0304968344435629
6.00830083008301,-0.030498415950008
6.00840084008401,-0.0304999975643186
6.00850085008501,-0.0305015792864996
6.00860086008601,-0.0305031611165655
6.00870087008701,-0.0305047430545329
6.00880088008801,-0.0305063251004037
6.00890089008901,-0.0305079072541964
6.00900090009001,-0.0305094895159159
6.00910091009101,-0.0305110718855778
6.00920092009201,-0.0305126543631956
6.00930093009301,-0.0305142369487781
6.00940094009401,-0.0305158196423398
6.00950095009501,-0.0305174024438858
6.00960096009601,-0.0305189853534306
6.00970097009701,-0.0305205683709886
6.00980098009801,-0.0305221514965707
6.00990099009901,-0.0305237347301827
6.01000100010001,-0.0305253180718421
6.01010101010101,-0.0305269015215547
6.01020102010201,-0.0305284850793381
6.01030103010301,-0.0305300687451971
6.01040104010401,-0.0305316525191482
6.01050105010501,-0.0305332364012041
6.01060106010601,-0.0305348203913716
6.01070107010701,-0.0305364044896643
6.01080108010801,-0.0305379886960929
6.01090109010901,-0.0305395730106701
6.01100110011001,-0.0305411574334065
6.01110111011101,-0.0305427419643148
6.01120112011201,-0.0305443266034077
6.01130113011301,-0.030545911350689
6.01140114011401,-0.0305474962061792
6.01150115011501,-0.0305490811698861
6.01160116011601,-0.0305506662418193
6.01170117011701,-0.0305522514219916
6.01180118011801,-0.0305538367104174
6.01190119011901,-0.0305554221071047
6.01200120012001,-0.030557007612065
6.01210121012101,-0.030558593225314
6.01220122012201,-0.0305601789468526
6.01230123012301,-0.030561764776709
6.01240124012401,-0.0305633507148774
6.01250125012501,-0.030564936761382
6.01260126012601,-0.0305665229162308
6.01270127012701,-0.0305681091794285
6.01280128012801,-0.0305696955509975
6.01290129012901,-0.0305712820309427
6.01300130013001,-0.0305728686192748
6.01310131013101,-0.0305744553160074
6.01320132013201,-0.0305760421211502
6.01330133013301,-0.0305776290347246
6.01340134013401,-0.030579216056722
6.01350135013501,-0.0305808031871742
6.01360136013601,-0.0305823904260796
6.01370137013701,-0.0305839777734612
6.01380138013801,-0.0305855652293154
6.01390139013901,-0.0305871527936635
6.01400140014001,-0.030588740466521
6.01410141014101,-0.030590328247889
6.01420142014201,-0.030591916137779
6.01430143014301,-0.0305935041362203
6.01440144014401,-0.0305950922432022
6.01450145014501,-0.030596680458748
6.01460146014601,-0.0305982687828626
6.01470147014701,-0.0305998572155703
6.01480148014801,-0.0306014457568701
6.01490149014901,-0.0306030344067777
6.01500150015001,-0.0306046231653026
6.01510151015102,-0.0306062120324548
6.01520152015202,-0.0306078010082574
6.01530153015301,-0.0306093900927085
6.01540154015402,-0.0306109792858238
6.01550155015502,-0.0306125685876139
6.01560156015602,-0.0306141579981031
6.01570157015702,-0.0306157475172837
6.01580158015802,-0.030617337145179
6.01590159015902,-0.0306189268817929
6.01600160016002,-0.0306205167271419
6.01610161016102,-0.0306221066812377
6.01620162016202,-0.030623696744092
6.01630163016302,-0.0306252869157203
6.01640164016402,-0.0306268771961217
6.01650165016502,-0.0306284675853166
6.01660166016602,-0.0306300580833176
6.01670167016702,-0.0306316486901326
6.01680168016802,-0.0306332394057731
6.01690169016902,-0.0306348302302577
6.01700170017002,-0.0306364211635854
6.01710171017102,-0.0306380122057767
6.01720172017202,-0.030639603356846
6.01730173017302,-0.0306411946167926
6.01740174017402,-0.0306427859856377
6.01750175017502,-0.0306443774633949
6.01760176017602,-0.0306459690500721
6.01770177017702,-0.0306475607456703
6.01780178017802,-0.0306491525502233
6.01790179017902,-0.0306507444637246
