"Freq [GHz]","dB(St(p2,p1)) []"
4.16801680168017,-76.9529026419626
4.16861686168617,-76.9498859361127
4.16921692169217,-76.9468689795764
4.16981698169817,-76.9438517721734
4.17041704170417,-76.940834313723
4.17101710171017,-76.9378166040447
4.17161716171617,-76.934798642958
4.17221722172217,-76.9317804302821
4.17281728172817,-76.9287619658363
4.17341734173417,-76.9257432494398
4.17401740174017,-76.9227242809118
4.17461746174618,-76.9197050600714
4.17521752175218,-76.9166855867377
4.17581758175818,-76.9136658607296
4.17641764176418,-76.9106458818661
4.17701770177018,-76.9076256499661
4.17761776177618,-76.9046051648484
4.17821782178218,-76.9015844263319
4.17881788178818,-76.8985634342351
4.17941794179418,-76.8955421883769
4.18001800180018,-76.8925206885758
4.18061806180618,-76.8894989346503
4.18121812181218,-76.886476926419
4.18181818181818,-76.8834546637002
4.18241824182418,-76.8804321463125
4.18301830183018,-76.8774093740741
4.18361836183618,-76.8743863468034
4.18421842184218,-76.8713630643184
4.18481848184818,-76.8683395264375
4.18541854185419,-76.8653157329786
4.18601860186019,-76.86229168376
4.18661866186619,-76.8592673785995
4.18721872187219,-76.8562428173151
4.18781878187819,-76.8532179997246
4.18841884188419,-76.850192925646
4.18901890189019,-76.847167594897
4.18961896189619,-76.8441420072953
4.19021902190219,-76.8411161626585
4.19081908190819,-76.8380900608043
4.19141914191419,-76.8350637015502
4.19201920192019,-76.8320370847137
4.19261926192619,-76.8290102101122
4.19321932193219,-76.8259830775631
4.19381938193819,-76.8229556868837
4.19441944194419,-76.8199280378913
4.19501950195019,-76.8169001304031
4.1956195619562,-76.8138719642361
4.1962196219622,-76.8108435392076
4.1968196819682,-76.8078148551345
4.1974197419742,-76.8047859118338
4.1980198019802,-76.8017567091225
4.1986198619862,-76.7987272468173
4.1992199219922,-76.7956975247351
4.1998199819982,-76.7926675426926
4.2004200420042,-76.7896373005065
4.2010201020102,-76.7866067979934
4.2016201620162,-76.7835760349699
4.2022202220222,-76.7805450112525
4.2028202820282,-76.7775137266577
4.2034203420342,-76.7744821810018
4.2040204020402,-76.7714503741011
4.2046204620462,-76.7684183057721
4.2052205220522,-76.7653859758308
4.20582058205821,-76.7623533840933
4.20642064206421,-76.7593205303759
4.20702070207021,-76.7562874144946
4.20762076207621,-76.7532540362654
4.20822082208221,-76.7502203955041
4.20882088208821,-76.7471864920266
4.20942094209421,-76.7441523256488
4.21002100210021,-76.7411178961864
4.21062106210621,-76.738083203455
4.21122112211221,-76.7350482472703
4.21182118211821,-76.7320130274479
4.21242124212421,-76.7289775438032
4.21302130213021,-76.7259417961518
4.21362136213621,-76.722905784309
4.21422142214221,-76.7198695080901
4.21482148214821,-76.7168329673104
4.21542154215421,-76.7137961617852
4.21602160216022,-76.7107590913294
4.21662166216622,-76.7077217557584
