"Freq [GHz]","mag(Zt(Signal1_3_T1,Signal1_2_T1)) []"
5.418,0.0911966938155389
5.4185,0.0912065133762092
5.419,0.0912163383921909
5.4195,0.0912261688659735
5.42,0.0912360048000489
5.4205,0.0912458461969106
5.421,0.0912556930590547
5.4215,0.0912655453889787
5.422,0.0912754031891824
5.4225,0.0912852664621675
5.423,0.091295135210438
5.4235,0.0913050094364996
5.424,0.09131488914286
5.4245,0.0913247743320293
5.425,0.0913346650065192
5.4255,0.0913445611688436
5.426,0.0913544628215186
5.4265,0.091364369967062
5.427,0.0913742826079939
5.4275,0.091384200746836
5.428,0.0913941243861128
5.4285,0.0914040535283501
5.429,0.0914139881760761
5.4295,0.0914239283318209
5.43,0.091433873998117
5.4305,0.0914438251774984
5.431,0.0914537818725012
5.4315,0.0914637440856641
5.432,0.0914737118195275
5.4325,0.0914836850766336
5.433,0.0914936638595269
5.4335,0.091503648170754
5.434,0.0915136380128636
5.4345,0.0915236333884063
5.435,0.0915336342999347
5.4355,0.0915436407500037
5.436,0.0915536527411701
5.4365,0.0915636702759928
5.437,0.0915736933570329
5.4375,0.0915837219868532
5.438,0.0915937561680189
5.4385,0.0916037959030972
5.439,0.0916138411946574
5.4395,0.0916238920452706
5.44,0.0916339484575106
5.4405,0.0916440104339525
5.441,0.091654077977174
5.4415,0.0916641510897549
5.442,0.0916742297742767
5.4425,0.0916843140333232
5.443,0.0916944038694804
5.4435,0.0917044992853363
5.444,0.0917146002834811
5.4445,0.0917247068665066
5.445,0.0917348190370075
5.4455,0.0917449367975798
5.446,0.0917550601508222
5.4465,0.0917651890993353
5.447,0.0917753236457217
5.4475,0.091785463792586
5.448,0.0917956095425353
5.4485,0.0918057608981784
5.449,0.0918159178621267
5.4495,0.091826080436993
5.45,0.091836248625393
5.4505,0.0918464224299439
5.451,0.0918566018532653
5.4515,0.091866786897979
5.452,0.0918769775667086
5.4525,0.0918871738620801
5.453,0.0918973757867216
5.4535,0.0919075833432632
5.454,0.0919177965343373
5.4545,0.0919280153625781
5.455,0.0919382398306224
5.4555,0.0919484699411087
5.456,0.0919587056966781
5.4565,0.0919689470999732
5.457,0.0919791941536394
5.4575,0.0919894468603238
5.458,0.0919997052226759
5.4585,0.092009969243347
5.459,0.0920202389249911
5.4595,0.0920305142702638
5.46,0.0920407952818233
5.4605,0.0920510819623295
5.461,0.0920613743144447
5.4615,0.0920716723408336
5.462,0.0920819760441626
5.4625,0.0920922854271005
5.463,0.0921026004923182
5.4635,0.0921129212424888
5.464,0.0921232476802878
5.4645,0.0921335798083922
5.465,0.092143917629482
5.4655,0.0921542611462386
5.466,0.0921646103613463
5.4665,0.0921749652774909
5.467,0.0921853258973609
5.4675,0.0921956922236468
5.468,0.0922060642590411
5.4685,0.0922164420062388
5.469,0.0922268254679368
5.4695,0.0922372146468343
5.47,0.0922476095456328
5.4705,0.0922580101670358
5.471,0.0922684165137493
5.4715,0.0922788285884811
5.472,0.0922892463939414
5.4725,0.0922996699328425
5.473,0.0923100992078991
5.4735,0.0923205342218279
5.474,0.0923309749773481
5.4745,0.0923414214771807
5.475,0.092351873724049
5.4755,0.0923623317206789
5.476,0.092372795469798
5.4765,0.0923832649741364
5.477,0.0923937402364264
5.4775,0.0924042212594024
5.478,0.0924147080458013
5.4785,0.0924252005983618
5.479,0.0924356989198251
5.4795,0.0924462030129346
5.48,0.0924567128804359
5.4805,0.0924672285250768
5.481,0.0924777499496074
5.4815,0.0924882771567799
5.482,0.092498810149349
5.4825,0.0925093489300713
5.483,0.0925198935017059
5.4835,0.0925304438670142
5.484,0.0925410000287594
5.4845,0.0925515619897073
5.485,0.0925621297526262
5.4855,0.092572703320286
5.486,0.0925832826954594
5.4865,0.092593867880921
5.487,0.092604458879448
5.4875,0.0926150556938194
5.488,0.0926256583268169
5.4885,0.0926362667812244
5.489,0.0926468810598278
5.4895,0.0926575011654153
5.49,0.0926681271007777
5.4905,0.0926787588687079
5.491,0.0926893964720008
5.4915,0.092700039913454
5.492,0.0927106891958671
5.4925,0.092721344322042
5.493,0.0927320052947832
5.4935,0.092742672116897
5.494,0.0927533447911922
5.4945,0.0927640233204799
5.495,0.0927747077075736
5.4955,0.092785397955289
5.496,0.0927960940664438
5.4965,0.0928067960438587
5.497,0.0928175038903558
5.4975,0.0928282176087603
5.498,0.0928389372018993
5.4985,0.0928496626726023
5.499,0.0928603940237008
5.4995,0.0928711312580292
5.5,0.0928818743784237
5.5005,0.0928926233877232
5.501,0.0929033782887685
5.5015,0.092914139084403
5.502,0.0929249057774724
5.5025,0.0929356783708247
5.503,0.0929464568673101
5.5035,0.0929572412697812
5.504,0.092968031581093
5.5045,0.0929788278041028
5.505,0.0929896299416702
5.5055,0.093000437996657
5.506,0.0930112519719277
5.5065,0.0930220718703488
5.507,0.0930328976947891
5.5075,0.0930437294481201
5.508,0.0930545671332153
5.5085,0.0930654107529508
5.509,0.0930762603102048
5.5095,0.0930871158078579
5.51,0.0930979772487933
5.5105,0.0931088446358964
5.511,0.0931197179720548
5.5115,0.0931305972601585
5.512,0.0931414825031003
5.5125,0.0931523737037747
5.513,0.093163270865079
5.5135,0.0931741739899127
5.514,0.0931850830811778
5.5145,0.0931959981417785
5.515,0.0932069191746214
5.5155,0.0932178461826158
5.516,0.0932287791686728
5.5165,0.0932397181357062
5.517,0.0932506630866324
