        Frequency / GHz                S2,1/abs,linear
               1.9129826                      0.99612434
               1.9157832                      0.99610914
               1.9185837                      0.99609389
               1.9213843                      0.99607858
               1.9241848                      0.99606322
               1.9269854                      0.99604779
                1.929786                      0.99603231
               1.9325865                      0.99601678
               1.9353871                      0.99600118
               1.9381876                      0.99598552
               1.9409882                      0.99596981
               1.9437888                      0.99595404
               1.9465893                       0.9959382
               1.9493899                      0.99592231
               1.9521904                      0.99590636
                1.954991                      0.99589034
               1.9577916                      0.99587427
               1.9605921                      0.99585813
               1.9633927                      0.99584193
               1.9661932                      0.99582567
               1.9689938                      0.99580935
               1.9717944                      0.99579296
               1.9745949                      0.99577651
               1.9773955                         0.99576
                1.980196                      0.99574342
               1.9829966                      0.99572678
               1.9857972                      0.99571008
               1.9885977                      0.99569331
               1.9913983                      0.99567647
               1.9941988                      0.99565957
               1.9969994                       0.9956426
                  1.9998                      0.99562556
               2.0026005                      0.99560846
               2.0054011                      0.99559129
               2.0082016                      0.99557405
               2.0110022                      0.99555674
               2.0138028                      0.99553936
               2.0166033                      0.99552192
               2.0194039                       0.9955044
               2.0222044                      0.99548682
                2.025005                      0.99546916
               2.0278056                      0.99545143
               2.0306061                      0.99543363
               2.0334067                      0.99541576
               2.0362072                      0.99539781
               2.0390078                       0.9953798
               2.0418084                      0.99536171
               2.0446089                      0.99534354
               2.0474095                       0.9953253
                 2.05021                      0.99530699
               2.0530106                      0.99528859
               2.0558112                      0.99527013
               2.0586117                      0.99525159
               2.0614123                      0.99523297
               2.0642128                      0.99521427
               2.0670134                      0.99519549
                2.069814                      0.99517664
               2.0726145                       0.9951577
               2.0754151                      0.99513869
               2.0782156                       0.9951196
               2.0810162                      0.99510042
               2.0838168                      0.99508117
               2.0866173                      0.99506183
               2.0894179                      0.99504241
               2.0922184                       0.9950229
                2.095019                      0.99500332
               2.0978196                      0.99498365
               2.1006201                      0.99496389
               2.1034207                      0.99494405
               2.1062212                      0.99492412
               2.1090218                      0.99490411
               2.1118224                        0.994884
               2.1146229                      0.99486381
               2.1174235                      0.99484354
                2.120224                      0.99482317
               2.1230246                      0.99480271
               2.1258252                      0.99478216
               2.1286257                      0.99476152
               2.1314263                      0.99474079
               2.1342268                      0.99471997
               2.1370274                      0.99469905
                2.139828                      0.99467804
               2.1426285                      0.99465694
               2.1454291                      0.99463574
               2.1482296                      0.99461444
               2.1510302                      0.99459305
               2.1538308                      0.99457156
               2.1566313                      0.99454997
               2.1594319                      0.99452828
               2.1622324                      0.99450649
                2.165033                       0.9944846
               2.1678336                      0.99446261
               2.1706341                      0.99444052
               2.1734347                      0.99441833
               2.1762352                      0.99439603
               2.1790358                      0.99437362
               2.1818364                      0.99435112
               2.1846369                       0.9943285
               2.1874375                      0.99430578
                2.190238                      0.99428295
               2.1930386                      0.99426001
               2.1958392                      0.99423696
               2.1986397                       0.9942138
               2.2014403                      0.99419053
               2.2042408                      0.99416715
               2.2070414                      0.99414365
                2.209842                      0.99412004
               2.2126425                      0.99409632
               2.2154431                      0.99407247
               2.2182436                      0.99404851
               2.2210442                      0.99402444
               2.2238448                      0.99400024
               2.2266453                      0.99397592
               2.2294459                      0.99395148
               2.2322464                      0.99392692
                2.235047                      0.99390224
               2.2378476                      0.99387743
               2.2406481                      0.99385249
               2.2434487                      0.99382743
               2.2462492                      0.99380224
               2.2490498                      0.99377693
               2.2518504                      0.99375148
               2.2546509                       0.9937259
               2.2574515                      0.99370019
               2.2602521                      0.99367434
               2.2630526                      0.99364836
               2.2658532                      0.99362224
               2.2686537                      0.99359599
               2.2714543                      0.99356959
               2.2742549                      0.99354306
               2.2770554                      0.99351638
                2.279856                      0.99348956
               2.2826565                       0.9934626
               2.2854571                      0.99343549
               2.2882577                      0.99340824
               2.2910582                      0.99338083
               2.2938588                      0.99335328
               2.2966593                      0.99332557
               2.2994599                      0.99329771
               2.3022605                       0.9932697
                2.305061                      0.99324153
               2.3078616                       0.9932132
               2.3106621                      0.99318472
               2.3134627                      0.99315607
               2.3162633                      0.99312726
               2.3190638                      0.99309828
               2.3218644                      0.99306914
               2.3246649                      0.99303983
               2.3274655                      0.99301035
               2.3302661                      0.99298069
               2.3330666                      0.99295087
               2.3358672                      0.99292087
               2.3386677                      0.99289069
               2.3414683                      0.99286033
               2.3442689                      0.99282979
               2.3470694                      0.99279906
                 2.34987                      0.99276815
               2.3526705                      0.99273705
               2.3554711                      0.99270576
               2.3582717                      0.99267428
               2.3610722                       0.9926426
               2.3638728                      0.99261072
               2.3666733                      0.99257864
               2.3694739                      0.99254637
               2.3722745                      0.99251388
                2.375075                      0.99248119
               2.3778756                      0.99244829
               2.3806761                      0.99241517
               2.3834767                      0.99238184
               2.3862773                      0.99234829
               2.3890778                      0.99231451
               2.3918784                      0.99228052
               2.3946789                      0.99224629
               2.3974795                      0.99221183
               2.4002801                      0.99217714
               2.4030806                      0.99214221
               2.4058812                      0.99210704
               2.4086817                      0.99207162
               2.4114823                      0.99203595
               2.4142829                      0.99200004
               2.4170834                      0.99196386
                2.419884                      0.99192743
               2.4226845                      0.99189073
               2.4254851                      0.99185376
               2.4282857                      0.99181651
               2.4310862                      0.99177899
               2.4338868                      0.99174119
               2.4366873                       0.9917031
               2.4394879                      0.99166472
               2.4422885                      0.99162604
                2.445089                      0.99158706
               2.4478896                      0.99154777
               2.4506901                      0.99150817
               2.4534907                      0.99146824
               2.4562913                        0.991428
               2.4590918                      0.99138742
               2.4618924                       0.9913465
               2.4646929                      0.99130523
               2.4674935                      0.99126362
               2.4702941                      0.99122164
               2.4730946                       0.9911793
               2.4758952                      0.99113658
               2.4786957                      0.99109348
               2.4814963                      0.99104999
               2.4842969                       0.9910061
               2.4870974                       0.9909618
                2.489898                      0.99091708
               2.4926985                      0.99087194
               2.4954991                      0.99082635
               2.4982997                      0.99078031
               2.5011002                      0.99073381
               2.5039008                      0.99068684
               2.5067013                      0.99063938
               2.5095019                      0.99059142
               2.5123025                      0.99054295
                2.515103                      0.99049395
               2.5179036                      0.99044441
               2.5207041                      0.99039432
               2.5235047                      0.99034364
               2.5263053                      0.99029238
               2.5291058                      0.99024051
               2.5319064                        0.990188
               2.5347069                      0.99013485
               2.5375075                      0.99008102
               2.5403081                       0.9900265
               2.5431086                      0.98997126
               2.5459092                      0.98991527
               2.5487097                      0.98985852
               2.5515103                      0.98980096
               2.5543109                      0.98974258
               2.5571114                      0.98968333
                2.559912                      0.98962318
               2.5627125                       0.9895621
               2.5655131                      0.98950004
               2.5683137                      0.98943697
               2.5711142                      0.98937285
               2.5739148                      0.98930761
               2.5767153                      0.98924122
               2.5795159                      0.98917361
               2.5823165                      0.98910474
                2.585117                      0.98903453
               2.5879176                      0.98896292
               2.5907181                      0.98888983
               2.5935187                      0.98881519
               2.5963193                      0.98873891
               2.5991198                       0.9886609
               2.6019204                      0.98858106
               2.6047209                      0.98849928
               2.6075215                      0.98841544
               2.6103221                      0.98832942
               2.6131226                      0.98824107
               2.6159232                      0.98815025
               2.6187237                      0.98805678
               2.6215243                      0.98796048
               2.6243249                      0.98786115
               2.6271254                      0.98775857
                2.629926                      0.98765249
               2.6327265                      0.98754265
               2.6355271                      0.98742874
               2.6383277                      0.98731042
               2.6411282                      0.98718734
               2.6439288                      0.98705907
               2.6467293                      0.98692515
               2.6495299                      0.98678506
               2.6523305                      0.98663822
                2.655131                      0.98648396
               2.6579316                      0.98632153
               2.6607321                      0.98615009
               2.6635327                      0.98596866
               2.6663333                      0.98577613
               2.6691338                      0.98557123
               2.6719344                      0.98535247
               2.6747349                      0.98511817
               2.6775355                      0.98486631
               2.6803361                      0.98459458
               2.6831366                      0.98430025
               2.6859372                      0.98398007
               2.6887377                       0.9836302
               2.6915383                      0.98324602
               2.6943389                        0.982822
               2.6971394                      0.98235137
                 2.69994                      0.98182591
               2.7027405                      0.98123543
               2.7055411                      0.98056727
               2.7083417                      0.97980552
               2.7111422                      0.97892995
               2.7139428                      0.97791459
               2.7167433                      0.97672562
               2.7195439                      0.97531846
               2.7223445                      0.97363343
                2.725145                       0.9715893
               2.7279456                      0.96907367
               2.7307461                      0.96592794
               2.7335467                      0.96192391
               2.7363473                       0.9567265
               2.7391478                      0.94983426
               2.7419484                      0.94048606
               2.7447489                      0.92752525
               2.7475495                      0.90925164
               2.7503501                      0.88347755
               2.7531506                      0.84866092
               2.7559512                      0.80829761
               2.7587518                       0.7785083
               2.7615523                      0.78163998
               2.7643529                      0.81598311
               2.7671534                      0.85803149
                2.769954                      0.89277772
               2.7727546                      0.91778995
               2.7755551                      0.93512577
               2.7783557                      0.94716834
               2.7811562                      0.95567848
               2.7839568                      0.96182303
               2.7867574                      0.96635632
               2.7895579                      0.96976849
               2.7923585                      0.97238324
                2.795159                      0.97441876
               2.7979596                      0.97602525
               2.8007602                      0.97730821
               2.8035607                      0.97834323
               2.8063613                      0.97918538
               2.8091618                       0.9798755
               2.8119624                      0.98044429
                2.814763                      0.98091518
               2.8175635                      0.98130626
               2.8203641                      0.98163165
               2.8231646                      0.98190253
               2.8259652                      0.98212778
               2.8287658                      0.98231456
               2.8315663                       0.9824687
               2.8343669                      0.98259493
               2.8371674                      0.98269716
                2.839968                      0.98277865
               2.8427686                       0.9828421
               2.8455691                      0.98288978
               2.8483697                       0.9829236
               2.8511702                      0.98294519
               2.8539708                      0.98295593
               2.8567714                      0.98295701
               2.8595719                      0.98294945
               2.8623725                      0.98293412
                2.865173                      0.98291179
               2.8679736                      0.98288312
               2.8707742                      0.98284869
               2.8735747                      0.98280899
               2.8763753                      0.98276448
               2.8791758                      0.98271553
               2.8819764                       0.9826625
                2.884777                      0.98260569
               2.8875775                      0.98254536
               2.8903781                      0.98248176
               2.8931786                       0.9824151
               2.8959792                      0.98234557
               2.8987798                      0.98227333
               2.9015803                      0.98219853
               2.9043809                      0.98212132
               2.9071814                       0.9820418
                2.909982                       0.9819601
               2.9127826                      0.98187631
               2.9155831                      0.98179051
               2.9183837                      0.98170278
               2.9211842                       0.9816132
               2.9239848                      0.98152183
               2.9267854                      0.98142872
               2.9295859                      0.98133393
               2.9323865                       0.9812375
                2.935187                      0.98113948
               2.9379876                       0.9810399
               2.9407882                      0.98093879
               2.9435887                      0.98083618
               2.9463893                      0.98073211
               2.9491898                      0.98062659
               2.9519904                      0.98051964
                2.954791                      0.98041129
               2.9575915                      0.98030155
               2.9603921                      0.98019043
               2.9631926                      0.98007795
               2.9659932                      0.97996411
               2.9687938                      0.97984892
               2.9715943                       0.9797324
               2.9743949                      0.97961454
               2.9771954                      0.97949536
                2.979996                      0.97937485
               2.9827966                      0.97925301
               2.9855971                      0.97912986
               2.9883977                      0.97900538
               2.9911982                      0.97887958
               2.9939988                      0.97875245
               2.9967994                      0.97862399
               2.9995999                       0.9784942
               3.0024005                      0.97836307
                3.005201                      0.97823061
               3.0080016                      0.97809679
               3.0108022                      0.97796163
               3.0136027                       0.9778251
               3.0164033                      0.97768721
               3.0192038                      0.97754794
               3.0220044                      0.97740728
                3.024805                      0.97726523
               3.0276055                      0.97712178
               3.0304061                      0.97697692
               3.0332066                      0.97683063
               3.0360072                      0.97668291
               3.0388078                      0.97653375
               3.0416083                      0.97638312
               3.0444089                      0.97623102
               3.0472094                      0.97607745
                 3.05001                      0.97592237
               3.0528106                      0.97576579
               3.0556111                      0.97560768
               3.0584117                      0.97544804
               3.0612122                      0.97528685
               3.0640128                      0.97512409
               3.0668134                      0.97495974
