        Frequency / GHz                S2,1/abs,dB
               3.4669339                       -9.039621
               3.4749499                      -8.9587988
                   3.475                      -8.9582707
               3.4829659                      -8.8711965
                   3.484                      -8.8594646
                3.490982                      -8.7779852
                   3.493                      -8.7537682
                3.498998                      -8.6803136
                   3.502                      -8.6428499
                3.507014                      -8.5791265
                   3.511                       -8.528431
               3.5150301                      -8.4766249
                    3.52                      -8.4124852
               3.5230461                      -8.3731778
                   3.529                      -8.2967576
               3.5310621                      -8.2704981
                   3.538                      -8.1831567
               3.5390782                      -8.1698937
                   3.547                      -8.0740367
               3.5470942                       -8.072919
               3.5551102                      -7.9801931
                   3.556                       -7.970211
               3.5631263                      -7.8927832
                   3.565                      -7.8732497
               3.5711423                      -7.8116318
                   3.574                      -7.7842713
               3.5791583                       -7.737131
                   3.583                      -7.7039384
               3.5871743                      -7.6697669
                   3.592                      -7.6327604
               3.5951904                      -7.6097743
                   3.601                       -7.570929
               3.6032064                      -7.5572076
                    3.61                      -7.5189763
               3.6112224                      -7.5120236
                   3.619                      -7.4752253
               3.6192385                      -7.4742009
               3.6272545                       -7.443313
                   3.628                      -7.4407853
               3.6352705                      -7.4189852
                   3.637                      -7.4146844
               3.6432866                      -7.4012207
                   3.646                      -7.3963991
               3.6513026                      -7.3890951
                   3.655                      -7.3855084
               3.6593186                      -7.3827077
                   3.664                      -7.3813347
               3.6673347                      -7.3816153
                   3.673                      -7.3838131
               3.6753507                      -7.3853954
                   3.682                        -7.39196
               3.6833667                       -7.393688
                   3.691                      -7.4056511
               3.6913828                      -7.4063508
               3.6993988                      -7.4231002
                     3.7                      -7.4244849
               3.7074148                      -7.4435749
                   3.709                      -7.4480758
               3.7154309                      -7.4675833
                   3.718                      -7.4759796
               3.7234469                      -7.4949412
                   3.727                       -7.508183
               3.7314629                      -7.5256796
                   3.736                      -7.5444588
                3.739479                      -7.5595246
                   3.745                      -7.5845986
                3.747495                      -7.5964144
                   3.754                      -7.6284809
                3.755511                      -7.6357835
                   3.763                      -7.6759878
               3.7635271                      -7.6788803
               3.7715431                      -7.7243594
                   3.772                      -7.7270351
               3.7795591                      -7.7725941
                   3.781                      -7.7815531
               3.7875752                      -7.8233494
                    3.79                      -7.8394884
               3.7955912                      -7.8771778
                   3.799                      -7.9007952
               3.8036072                      -7.9333232
                   3.808                      -7.9653692
